Date,SiteName,LocationName,LocationGroup,WeekDay,BRCYear,BRCQuarter,BRCMonth,BRCWeek,InCount,OutCount,TotalCount,BusinessInCount,BusinessOutCount,BusinessTotalCount,FactoredInCount,FactoredOutCount,FactoredTotalCount
01/04/2009,York,Coney Street,,Wednesday,2009,,March,13,29518,,29518,,,,,,
01/04/2009,York,Parliament Street at M&S,,Wednesday,2009,,March,13,18659,,18659,,,,,,
02/04/2009,York,Coney Street,,Thursday,2009,,March,13,25501,,25501,,,,,,
02/04/2009,York,Parliament Street at M&S,,Thursday,2009,,March,13,26938,,26938,,,,,,
03/04/2009,York,Coney Street,,Friday,2009,,March,13,32751,,32751,,,,,,
03/04/2009,York,Parliament Street at M&S,,Friday,2009,,March,13,21882,,21882,,,,,,
04/04/2009,York,Coney Street,,Saturday,2009,,March,13,47456,,47456,,,,,,
04/04/2009,York,Parliament Street at M&S,,Saturday,2009,,March,13,37675,,37675,,,,,,
05/04/2009,York,Coney Street,,Sunday,2009,,March,13,28747,,28747,,,,,,
05/04/2009,York,Parliament Street at M&S,,Sunday,2009,,March,13,21134,,21134,,,,,,
30/03/2009,York,Coney Street,,Monday,2009,,March,13,26756,,26756,,,,,,
30/03/2009,York,Parliament Street at M&S,,Monday,2009,,March,13,17112,,17112,,,,,,
31/03/2009,York,Coney Street,,Tuesday,2009,,March,13,27857,,27857,,,,,,
31/03/2009,York,Parliament Street at M&S,,Tuesday,2009,,March,13,19867,,19867,,,,,,
06/04/2009,York,Coney Street,,Monday,2009,,April,14,33789,,33789,,,,,,
06/04/2009,York,Parliament Street at M&S,,Monday,2009,,April,14,23759,,23759,,,,,,
07/04/2009,York,Coney Street,,Tuesday,2009,,April,14,32241,,32241,,,,,,
07/04/2009,York,Parliament Street at M&S,,Tuesday,2009,,April,14,33129,,33129,,,,,,
08/04/2009,York,Coney Street,,Wednesday,2009,,April,14,34280,,34280,,,,,,
08/04/2009,York,Parliament Street at M&S,,Wednesday,2009,,April,14,23437,,23437,,,,,,
09/04/2009,York,Coney Street,,Thursday,2009,,April,14,35889,,35889,,,,,,
09/04/2009,York,Parliament Street at M&S,,Thursday,2009,,April,14,25670,,25670,,,,,,
10/04/2009,York,Coney Street,,Friday,2009,,April,14,39430,,39430,,,,,,
10/04/2009,York,Parliament Street at M&S,,Friday,2009,,April,14,26816,,26816,,,,,,
11/04/2009,York,Coney Street,,Saturday,2009,,April,14,52092,,52092,,,,,,
11/04/2009,York,Parliament Street at M&S,,Saturday,2009,,April,14,43865,,43865,,,,,,
12/04/2009,York,Coney Street,,Sunday,2009,,April,14,24359,,24359,,,,,,
12/04/2009,York,Parliament Street at M&S,,Sunday,2009,,April,14,18211,,18211,,,,,,
13/04/2009,York,Coney Street,,Monday,2009,,April,15,36999,,36999,,,,,,
13/04/2009,York,Parliament Street at M&S,,Monday,2009,,April,15,25482,,25482,,,,,,
14/04/2009,York,Coney Street,,Tuesday,2009,,April,15,38368,,38368,,,,,,
14/04/2009,York,Parliament Street at M&S,,Tuesday,2009,,April,15,26034,,26034,,,,,,
15/04/2009,York,Coney Street,,Wednesday,2009,,April,15,37677,,37677,,,,,,
15/04/2009,York,Parliament Street at M&S,,Wednesday,2009,,April,15,25866,,25866,,,,,,
16/04/2009,York,Coney Street,,Thursday,2009,,April,15,36084,,36084,,,,,,
16/04/2009,York,Parliament Street at M&S,,Thursday,2009,,April,15,24749,,24749,,,,,,
17/04/2009,York,Coney Street,,Friday,2009,,April,15,38959,,38959,,,,,,
17/04/2009,York,Parliament Street at M&S,,Friday,2009,,April,15,34804,,34804,,,,,,
18/04/2009,York,Coney Street,,Saturday,2009,,April,15,44192,,44192,,,,,,
18/04/2009,York,Parliament Street at M&S,,Saturday,2009,,April,15,36603,,36603,,,,,,
19/04/2009,York,Coney Street,,Sunday,2009,,April,15,21155,,21155,,,,,,
19/04/2009,York,Parliament Street at M&S,,Sunday,2009,,April,15,18593,,18593,,,,,,
20/04/2009,York,Coney Street,,Monday,2009,,April,16,25168,,25168,,,,,,
20/04/2009,York,Parliament Street at M&S,,Monday,2009,,April,16,27434,,27434,,,,,,
21/04/2009,York,Coney Street,,Tuesday,2009,,April,16,25160,,25160,,,,,,
21/04/2009,York,Parliament Street at M&S,,Tuesday,2009,,April,16,24425,,24425,,,,,,
22/04/2009,York,Coney Street,,Wednesday,2009,,April,16,24110,,24110,,,,,,
22/04/2009,York,Parliament Street at M&S,,Wednesday,2009,,April,16,26844,,26844,,,,,,
23/04/2009,York,Coney Street,,Thursday,2009,,April,16,26065,,26065,,,,,,
23/04/2009,York,Parliament Street at M&S,,Thursday,2009,,April,16,22973,,22973,,,,,,
24/04/2009,York,Coney Street,,Friday,2009,,April,16,31232,,31232,,,,,,
24/04/2009,York,Parliament Street at M&S,,Friday,2009,,April,16,29118,,29118,,,,,,
25/04/2009,York,Coney Street,,Saturday,2009,,April,16,49250,,49250,,,,,,
25/04/2009,York,Parliament Street at M&S,,Saturday,2009,,April,16,42632,,42632,,,,,,
26/04/2009,York,Coney Street,,Sunday,2009,,April,16,27419,,27419,,,,,,
26/04/2009,York,Parliament Street at M&S,,Sunday,2009,,April,16,20071,,20071,,,,,,
01/05/2009,York,Coney Street,,Friday,2009,,April,17,34638,,34638,,,,,,
01/05/2009,York,Parliament Street at M&S,,Friday,2009,,April,17,27554,,27554,,,,,,
02/05/2009,York,Coney Street,,Saturday,2009,,April,17,53777,,53777,,,,,,
02/05/2009,York,Parliament Street at M&S,,Saturday,2009,,April,17,49192,,49192,,,,,,
03/05/2009,York,Coney Street,,Sunday,2009,,April,17,36718,,36718,,,,,,
03/05/2009,York,Parliament Street at M&S,,Sunday,2009,,April,17,28124,,28124,,,,,,
27/04/2009,York,Coney Street,,Monday,2009,,April,17,22073,,22073,,,,,,
27/04/2009,York,Parliament Street at M&S,,Monday,2009,,April,17,14041,,14041,,,,,,
28/04/2009,York,Coney Street,,Tuesday,2009,,April,17,23581,,23581,,,,,,
28/04/2009,York,Parliament Street at M&S,,Tuesday,2009,,April,17,16783,,16783,,,,,,
29/04/2009,York,Coney Street,,Wednesday,2009,,April,17,28681,,28681,,,,,,
29/04/2009,York,Parliament Street at M&S,,Wednesday,2009,,April,17,24088,,24088,,,,,,
30/04/2009,York,Coney Street,,Thursday,2009,,April,17,27323,,27323,,,,,,
30/04/2009,York,Parliament Street at M&S,,Thursday,2009,,April,17,18547,,18547,,,,,,
04/05/2009,York,Coney Street,,Monday,2009,,May,18,34311,,34311,,,,,,
04/05/2009,York,Parliament Street at M&S,,Monday,2009,,May,18,20637,,20637,,,,,,
05/05/2009,York,Coney Street,,Tuesday,2009,,May,18,25722,,25722,,,,,,
05/05/2009,York,Parliament Street at M&S,,Tuesday,2009,,May,18,17417,,17417,,,,,,
