Date,Holiday,WeekDay,Month,Day,Year
2024-01-01,New Year's Day,Thursday,1,1,2024
2024-01-19,"Martin Luther King, Jr. Day",Monday,1,19,2024
2024-02-14,Valentine’s Day,Saturday,2,14,2024
2024-02-16,Washington's Birthday,Monday,2,16,2024
2024-04-11,Western Easter,Sunday,4,11,2024
2024-04-11,Eastern Easter,Sunday,4,11,2024
2024-05-31,Memorial Day,Monday,5,31,2024
2024-06-19,Juneteenth,Saturday,6,19,2024
2024-07-04,4th of July,Sunday,7,4,2024
2024-09-04,Labor Day Weekend,Saturday,9,4,2024
2024-09-05,Labor Day Weekend,Sunday,9,5,2024
2024-09-06,Labor Day,Monday,9,6,2024
2024-10-11,Columbus Day,Monday,10,11,2024
2024-11-11,Veterans Day,Thursday,11,11,2024
2024-11-24,Thanksgiving Eve,Wednesday,11,24,2024
2024-11-25,Thanksgiving Day,Thursday,11,25,2024
2024-12-24,Christmas Eve,Friday,12,24,2024
2024-12-25,Christmas Day,Saturday,12,25,2024
2024-12-31,New Year’s Eve,Friday,12,31,2024
