Date,SiteName,LocationName,WeekDay,BRCYear,InCount,OutCount,TotalCount
01/01/2024,NewYork,ATM Outlets,Monday,2024,2373.0,2838.0,5211.0
01/01/2024,NewYork,ShoppingMall,Monday,2024,3901.0,4124.0,8025.0
02/01/2024,NewYork,ATM Outlets,Tuesday,2024,2393.0,2361.0,4754.0
02/01/2024,NewYork,ShoppingMall,Tuesday,2024,5685.0,6114.0,11799.0
03/01/2024,NewYork,ATM Outlets,Wednesday,2024,3411.0,3306.0,6717.0
03/01/2024,NewYork,ShoppingMall,Wednesday,2024,6525.0,6656.0,13181.0
04/01/2024,NewYork,ATM Outlets,Thursday,2024,3128.0,3023.0,6151.0
04/01/2024,NewYork,ShoppingMall,Thursday,2024,6451.0,6271.0,12722.0
05/01/2024,NewYork,ATM Outlets,Friday,2024,3315.0,3144.0,6459.0
05/01/2024,NewYork,ShoppingMall,Friday,2024,6818.0,6665.0,13483.0
06/01/2024,NewYork,ATM Outlets,Saturday,2024,3493.0,3257.0,6750.0
06/01/2024,NewYork,ShoppingMall,Saturday,2024,7268.0,6599.0,13867.0
07/01/2024,NewYork,ATM Outlets,Sunday,2024,2158.0,2344.0,4502.0
07/01/2024,NewYork,ShoppingMall,Sunday,2024,4050.0,3926.0,7976.0
08/01/2024,NewYork,ATM Outlets,Monday,2024,2352.0,2147.0,4499.0
08/01/2024,NewYork,ShoppingMall,Monday,2024,4804.0,5164.0,9968.0
09/01/2024,NewYork,ATM Outlets,Tuesday,2024,2619.0,2422.0,5041.0
09/01/2024,NewYork,ShoppingMall,Tuesday,2024,4450.0,4756.0,9206.0
10/01/2024,NewYork,ATM Outlets,Wednesday,2024,2535.0,2321.0,4856.0
10/01/2024,NewYork,ShoppingMall,Wednesday,2024,6435.0,6772.0,13207.0
11/01/2024,NewYork,ATM Outlets,Thursday,2024,2638.0,2427.0,5065.0
11/01/2024,NewYork,ShoppingMall,Thursday,2024,5357.0,5761.0,11118.0
12/01/2024,NewYork,ATM Outlets,Friday,2024,2967.0,2911.0,5878.0
12/01/2024,NewYork,ShoppingMall,Friday,2024,5963.0,6432.0,12395.0
13/01/2024,NewYork,ATM Outlets,Saturday,2024,3685.0,3644.0,7329.0
13/01/2024,NewYork,ShoppingMall,Saturday,2024,6731.0,5780.0,12511.0
14/01/2024,NewYork,ATM Outlets,Sunday,2024,2210.0,2267.0,4477.0
14/01/2024,NewYork,ShoppingMall,Sunday,2024,3819.0,3383.0,7202.0
15/01/2024,NewYork,ATM Outlets,Monday,2024,2039.0,1958.0,3997.0
15/01/2024,NewYork,ShoppingMall,Monday,2024,3789.0,3806.0,7595.0
16/01/2024,NewYork,ATM Outlets,Tuesday,2024,2657.0,2291.0,4948.0
16/01/2024,NewYork,ShoppingMall,Tuesday,2024,5109.0,5021.0,10130.0
17/01/2024,NewYork,ATM Outlets,Wednesday,2024,2281.0,2183.0,4464.0
