date,temperature_max,temperature_min,precipitation,weather_code,weather_description,season
2024-01-01,4.0,-8.2,9.5,75.0,heavy snow fall,Winter
2024-01-02,4.9,0.1,4.9,85.0,Light snow showers,Winter
2024-01-03,0.5,-8.3,12.6,45.0,Fog,Winter
2024-01-04,4.3,-4.6,14.3,66.0,Light freezing rain,Winter
2024-01-05,-0.4,0.1,8.2,75.0,heavy snow fall,Winter
2024-01-06,4.4,-6.6,3.8,86.0,Heavy snow showers,Winter
2024-01-07,-0.7,-6.8,11.0,75.0,heavy snow fall,Winter
2024-01-08,-1.1,-2.8,4.1,66.0,Light freezing rain,Winter
2024-01-09,5.1,-3.8,9.8,66.0,Light freezing rain,Winter
2024-01-10,0.1,0.5,7.9,86.0,Heavy snow showers,Winter
2024-01-11,3.3,-5.7,0.9,66.0,Light freezing rain,Winter
2024-01-12,4.4,-3.6,3.7,66.0,Light freezing rain,Winter
2024-01-13,-1.0,-1.0,10.1,73.0,moderate snow fall,Winter
2024-01-14,2.4,0.5,10.4,66.0,Light freezing rain,Winter
2024-01-15,3.4,0.5,7.3,86.0,Heavy snow showers,Winter
2024-01-16,-0.9,-5.3,1.1,66.0,Light freezing rain,Winter
2024-01-17,-2.0,-5.5,4.4,71.0,Slight snow fall,Winter
2024-01-18,0.0,-8.3,8.7,73.0,moderate snow fall,Winter
2024-01-19,3.7,-5.7,0.9,48.0,Depositing rime fog,Winter
2024-01-20,5.8,-2.6,13.1,85.0,Light snow showers,Winter
2024-01-21,-0.3,-0.2,8.2,75.0,heavy snow fall,Winter
2024-01-22,-1.2,-3.7,3.3,48.0,Depositing rime fog,Winter
2024-01-23,5.8,0.8,5.7,85.0,Light snow showers,Winter
2024-01-24,-0.2,-5.0,7.6,48.0,Depositing rime fog,Winter
2024-01-25,-1.2,-7.3,5.4,3.0,Overcast,Winter
2024-01-26,-1.9,0.0,6.0,48.0,Depositing rime fog,Winter
2024-01-27,-0.1,-8.9,7.8,45.0,Fog,Winter
2024-01-28,4.8,-6.9,10.4,85.0,Light snow showers,Winter
2024-01-29,-1.4,-9.6,9.6,3.0,Overcast,Winter
2024-01-30,3.1,0.6,7.5,75.0,heavy snow fall,Winter
2024-01-31,2.9,-1.7,4.0,85.0,Light snow showers,Winter
2024-02-01,4.8,-2.6,14.2,66.0,Light freezing rain,Winter
2024-02-02,2.2,-6.2,0.4,66.0,Light freezing rain,Winter
2024-02-03,0.7,-9.6,7.7,3.0,Overcast,Winter
2024-02-04,1.7,-0.1,5.9,85.0,Light snow showers,Winter
2024-02-05,4.4,0.9,11.1,48.0,Depositing rime fog,Winter
2024-02-06,1.6,-0.8,4.8,3.0,Overcast,Winter
2024-02-07,2.3,-7.5,11.6,77.0,Snow grains,Winter
2024-02-08,2.2,-6.9,11.0,86.0,Heavy snow showers,Winter
